GSM149579	GSM149580	GSM149581	GSM149582	GSM149583	GSM149584	GSM149585	GSM149586	GSM149587	GSM149588	GSM149589	GSM149590	GSM149591	GSM149592	GSM149593	GSM149594	GSM149595	GSM149596	GSM149597	GSM149598
{SEPT2,21} (Static Module)	0	0	0	0	0	-1	0	-1	-1	-1	0	-1	0	0	-1	0	0	0	0	0
{SFPQ,10} (Static Module)	0	1	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	1
{SHH,13} (Static Module)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
{SIX3,11} (Static Module)	1	1	1	1	1	0	0	0	1	1	0	1	1	1	1	1	1	1	1	1
{SMAD4,27} (Static Module)	1	1	0	0	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0
{SNX1,11} (Static Module)	-1	-1	0	0	0	0	-1	-1	0	0	0	0	-1	0	0	0	0	0	-1	-1
{SP1,88} (Static Module)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
{SPI1,10} (Static Module)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
{SPTAN1,10} (Static Module)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1
{SREBF1,11} (Static Module)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
{SRF,11} (Static Module)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
{STX5,12} (Static Module)	-1	-1	0	0	-1	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	-1
{SUMO1,12} (Static Module)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0
{TCF3,20} (Static Module)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
{TFAP2A,25} (Static Module)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1
{TGFBR1,98} (Static Module)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
{TIA1,10} (Static Module)	1	1	1	1	0	0	0	0	-1	0	0	0	1	1	0	1	0	0	0	1
{TJP1,26} (Static Module)	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0	-1	0	-1	0	0	0	0
{TLE1,10} (Static Module)	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
{TP53,109} (Static Module)	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0
{TRAF2,90} (Static Module)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
{TRAF6,55} (Static Module)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
{UBE2D1,58} (Static Module)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0
{USF1,13} (Static Module)	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1
{VAMP2,63} (Static Module)	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0
{VCP,17} (Static Module)	0	0	-1	-1	-1	-1	-1	-1	0	1	0	0	-1	-1	-1	-1	-1	-1	-1	-1
{VHL,12} (Static Module)	0	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
